Category,Product Name,Product Price,Rating,Discount,Past Details,Image URL,Shipped From,Sold By
Laptops,"Lenovo ThinkPad E14 Intel Core i7 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Backlit Keyboard/FPR/Arctic Grey/1Y Onsite/1.41 kg), 21JKS1FT00","35,990",3.6 out of 5 stars,(26% off),M.R.P:,https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Laptops,Need help?,"86,530",1.0 out of 5 stars,(27% off),M.R.P:,https://m.media-amazon.com/images/I/41QnGPxMaeL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
Kitchen,Results,"6,499",4.3 out of 5 stars,(39% off),2K+ bought in past month,https://m.media-amazon.com/images/I/81Cir3akReL._AC_UL320_.jpg,Amazon,RetailEZ Pvt Ltd
Kitchen,Highly rated,"6,290",4.3 out of 5 stars,(16% off),M.R.P:,https://m.media-amazon.com/images/I/71dzAT5xIqL._AC_UL320_.jpg,Amazon,DAWNTECH ELECTRONICS PRIVATE LIMITED
Kitchen,More results,"6,999",3.9 out of 5 stars,(53% off),1K+ bought in past month,https://m.media-amazon.com/images/I/51hqUVYXn9L._AC_UL320_.jpg,Amazon,ESTINA CERA CHEM
Kitchen,Today's deals,299,4.0 out of 5 stars,(33% off),M.R.P:,https://m.media-amazon.com/images/I/21uJCMiFDpL._AC_UL320_.jpg,Amazon,PONMALAR PRIVATE LIMITED
Kitchen,Need help?,149,3.7 out of 5 stars,(73% off),M.R.P:,https://m.media-amazon.com/images/I/51RXzjrUmkL._AC_UL320_.jpg,Amazon,RetailEZ Pvt Ltd
Shoes,Results,447,3.7 out of 5 stars,(72% off),M.R.P:,https://m.media-amazon.com/images/I/61-kSKSu03L._AC_UL320_.jpg,Amazon,Cocoblu Retail
Shoes,Highly rated,"1,434",3.8 out of 5 stars,,50+ bought in past month,https://m.media-amazon.com/images/I/61B4qwjvqkL._AC_UL320_.jpg,Amazon,Cocoblu Retail
Shoes,More results,"2,089",3.4 out of 5 stars,(30% off),M.R.P:,https://m.media-amazon.com/images/I/71c4fPETmsL._AC_UL320_.jpg,Amazon,Bacca bucci Shoes
Shoes,Today's deals,"1,329",3.6 out of 5 stars,,M.R.P:,https://m.media-amazon.com/images/I/71ZGvVH-ryL._AC_UL320_.jpg,Amazon,Bacca bucci Shoes
Shoes,Need help?,868,3.5 out of 5 stars,(48% off),M.R.P:,https://m.media-amazon.com/images/I/61BYQOF1nOL._AC_UL320_.jpg,Amazon,BERSACHE
Computers,Results,"38,990",3.9 out of 5 stars,(33% off),M.R.P:,https://m.media-amazon.com/images/I/41EZ4B8QixL._AC_UY218_.jpg,Amazon,Clicktech Retail Private Ltd
